id,label,predict_result,predict_score,predict_detail,type
2,1,1,0.5416653602077226,"{'0': 0.4583346397922774, '1': 0.5416653602077226}",train
4,0,0,0.30367310220017163,"{'0': 0.6963268977998284, '1': 0.30367310220017163}",train
6,1,1,0.6829975774341868,"{'0': 0.31700242256581324, '1': 0.6829975774341868}",train
7,0,1,0.7173677046606357,"{'0': 0.2826322953393643, '1': 0.7173677046606357}",train
10,1,1,0.8188394903330192,"{'0': 0.18116050966698083, '1': 0.8188394903330192}",train
11,1,1,0.7725312275368552,"{'0': 0.22746877246314479, '1': 0.7725312275368552}",train
16,1,1,0.8100331110020849,"{'0': 0.18996688899791514, '1': 0.8100331110020849}",train
18,1,1,0.6098074080237862,"{'0': 0.3901925919762138, '1': 0.6098074080237862}",train
21,1,1,0.9174175804262968,"{'0': 0.08258241957370316, '1': 0.9174175804262968}",train
24,1,1,0.6186101013724079,"{'0': 0.3813898986275921, '1': 0.6186101013724079}",train
28,0,1,0.7517210941082639,"{'0': 0.24827890589173607, '1': 0.7517210941082639}",train
36,0,1,0.7384157469903265,"{'0': 0.2615842530096735, '1': 0.7384157469903265}",train
44,1,1,0.793463187549713,"{'0': 0.206536812450287, '1': 0.793463187549713}",train
45,1,1,0.6165117333064728,"{'0': 0.3834882666935272, '1': 0.6165117333064728}",train
50,1,1,0.8969024975422241,"{'0': 0.10309750245777594, '1': 0.8969024975422241}",train
51,1,1,0.8902543692352669,"{'0': 0.1097456307647331, '1': 0.8902543692352669}",train
56,1,1,0.6440769283887607,"{'0': 0.35592307161123926, '1': 0.6440769283887607}",train
63,1,1,0.9457426084214435,"{'0': 0.05425739157855647, '1': 0.9457426084214435}",train
64,1,1,0.781916495253013,"{'0': 0.218083504746987, '1': 0.781916495253013}",train
77,0,1,0.5530141045085015,"{'0': 0.4469858954914985, '1': 0.5530141045085015}",train
79,1,1,0.8624327469507014,"{'0': 0.13756725304929862, '1': 0.8624327469507014}",train
82,1,0,0.2699869867595929,"{'0': 0.7300130132404071, '1': 0.2699869867595929}",train
83,1,1,0.6601714641037872,"{'0': 0.33982853589621276, '1': 0.6601714641037872}",train
87,1,1,0.6335207948889452,"{'0': 0.3664792051110548, '1': 0.6335207948889452}",train
88,1,1,0.869274507125671,"{'0': 0.130725492874329, '1': 0.869274507125671}",train
89,1,1,0.7760966349031598,"{'0': 0.22390336509684017, '1': 0.7760966349031598}",train
92,1,1,0.8871502468175436,"{'0': 0.11284975318245638, '1': 0.8871502468175436}",train
93,1,1,0.8603781016449936,"{'0': 0.13962189835500638, '1': 0.8603781016449936}",train
96,1,1,0.5042191837989741,"{'0': 0.4957808162010259, '1': 0.5042191837989741}",train
100,1,1,0.813722214735678,"{'0': 0.18627778526432204, '1': 0.813722214735678}",train
102,1,1,0.8957802900705064,"{'0': 0.10421970992949359, '1': 0.8957802900705064}",train
112,1,1,0.807872299874359,"{'0': 0.19212770012564095, '1': 0.807872299874359}",train
114,1,1,0.9036362792442416,"{'0': 0.09636372075575839, '1': 0.9036362792442416}",train
117,0,1,0.7222779888987509,"{'0': 0.27772201110124906, '1': 0.7222779888987509}",train
118,1,1,0.647893927367216,"{'0': 0.35210607263278404, '1': 0.647893927367216}",train
119,0,1,0.6067572157337844,"{'0': 0.3932427842662156, '1': 0.6067572157337844}",train
121,1,1,0.7044340928221253,"{'0': 0.2955659071778747, '1': 0.7044340928221253}",train
123,1,0,0.4817890849447357,"{'0': 0.5182109150552643, '1': 0.4817890849447357}",train
127,1,1,0.7409776790936119,"{'0': 0.2590223209063881, '1': 0.7409776790936119}",train
132,1,1,0.7283096918882224,"{'0': 0.27169030811177763, '1': 0.7283096918882224}",train
136,1,1,0.9054992516980571,"{'0': 0.09450074830194288, '1': 0.9054992516980571}",train
